Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
Intel Core 2 Quad Q6600 (95W);CPU;2007-07-23;650;950;1430;5820;24000;Intel;Intel;;;
Intel Pentium Dual-Core T4300;CPU;2009-04-01;450;350;1070;4100;21000;Intel;Intel;;;
Intel Core i5-7500;CPU;2017-01-03;140;650;;;34000;Intel;Intel;;;
Intel Celeron G1830;CPU;2013-12-01;220;540;1770;14000;28000;Intel;Intel;;;
Intel Xeon 7130N;CPU;2006-08-27;650;1500;4350;13280;31660;Intel;Intel;;;
Intel Xeon Phi 3120A;CPU;2013-06-17;220;3000;3500;50000;11000;Intel;Intel;;;
Intel Core i3-4350;CPU;2014-05-01;220;540;1770;14000;36000;Intel;Intel;;;
AMD A10-6700;CPU;2013-06-01;320;650;2460;11780;37000;Unknown;AMD;;;
Intel Xeon MP 3.16;CPU;2005-03-29;900;1350;;2860;31670;Intel;Intel;;;
Intel Core 2 Duo E7500;CPU;2009-01-10;450;650;820;2280;29330;Intel;Intel;;;
AMD A10-6700T;CPU;2013-09-16;320;450;2460;11780;25000;Unknown;AMD;;;
AMD Athlon XP 1800+;CPU;2001-10-09;1800;660;1500;370;15330;Unknown;AMD;;;
Intel Xeon E5-2440 v2;CPU;2013-09-01;220;950;1600;14000;19000;Intel;Intel;;;
AMD A9-9410 SoC;CPU;2016-05-31;280;250;1240;12000;29000;Unknown;AMD;;;
Intel Core i3-4130T;CPU;2013-09-01;220;350;1770;14000;29000;Intel;Intel;;;
Intel Core i5-4250U;CPU;2013-06-04;220;150;1180;14000;13000;Intel;Intel;;;
AMD Athlon II X2 240;CPU;2009-07-23;450;650;1170;4100;28000;Unknown;AMD;;;
AMD Opteron 140;CPU;2004-05-18;1300;820;1930;1060;14000;Unknown;AMD;;;
Intel Xeon Gold 5318Y;CPU;2021-04-06;100;1650;;;21000;Intel;Intel;;;
Intel Celeron G3950;CPU;2017-01-03;140;510;;;30000;Intel;Intel;;;
AMD A8-6500;CPU;2013-06-01;320;650;2460;11780;35000;Unknown;AMD;;;
Intel Pentium M 745;CPU;2004-05-10;900;210;840;1400;18000;Intel;Intel;;;
AMD Athlon 64 X2 4600+;CPU;2006-05-23;900;890;1560;1540;24000;Unknown;AMD;;;
AMD Opteron 4376 HE;CPU;2012-12-04;320;650;3150;12000;26000;Unknown;AMD;;;
Intel Xeon E5-2640 v2;CPU;2013-09-01;220;950;1600;14000;20000;Intel;Intel;;;
AMD Ryzen 3 1200;CPU;2017-07-27;140;650;1920;48000;31000;GF;AMD;;;
AMD Phenom II X4 970 BE;CPU;2010-10-01;450;1250;3460;9040;35000;Unknown;AMD;;;
Intel Celeron N2820;CPU;2013-12-01;220;70;;;21700;Intel;Intel;;;
Intel Pentium G4560T;CPU;2017-01-03;140;350;;;29000;Intel;Intel;;;
Intel Xeon X5660;CPU;2010-03-16;320;950;2390;11700;28000;Intel;Intel;;;
AMD Opteron X2 165;CPU;2005-08-02;900;1100;;2330;18000;Unknown;AMD;;;
Intel Core i3-3217UE;CPU;2012-08-01;220;170;1180;;16000;Intel;Intel;;;
AMD Sempron 2800+;CPU;2004-08-01;900;620;840;630;16000;Unknown;AMD;;;
AMD Phenom II X2 B53;CPU;2009-10-01;450;800;2580;7580;28000;Unknown;AMD;;;
AMD Athlon II X2 255;CPU;2010-01-25;450;650;1170;4100;31000;Unknown;AMD;;;
Intel Core i3-5005U;CPU;2015-03-01;140;150;;;20000;Intel;Intel;;;
Intel Pentium 4 HT 551;CPU;2005-06-12;900;1150;1090;1250;34000;Intel;Intel;;;
Intel Core i7-3517UE;CPU;2012-06-03;220;170;1180;;17000;Intel;Intel;;;
Intel Xeon E5502;CPU;2009-03-30;450;800;2630;7310;18660;Intel;Intel;;;
Intel Celeron G555;CPU;2012-09-01;320;650;1310;5040;27000;Intel;Intel;;;
AMD Athlon 64 3300+;CPU;2004-04-27;1300;890;1440;1050;24000;Unknown;AMD;;;
Intel Mobile Pentium 4 2.66;CPU;2003-06-11;1300;660;1310;550;26670;Intel;Intel;;;
Intel Core i9-11900T;CPU;2021-03-16;140;350;;;15000;Intel;Intel;;;
AMD Opteron 6276;CPU;2011-11-14;320;1150;3160;24000;23000;Unknown;AMD;;;
AMD Opteron 6278;CPU;2012-05-01;320;1150;3160;24000;24000;Unknown;AMD;;;
Intel Xeon E5-1620 v2;CPU;2013-09-01;220;1300;1600;14000;37000;Intel;Intel;;;
AMD Phenom X4 9750 (95W);CPU;2008-03-27;650;950;2850;4500;24000;Unknown;AMD;;;
AMD Mobile Athlon 64 2700+;CPU;2005-08-01;1300;350;1930;1060;16000;Unknown;AMD;;;
AMD Phenom X3 8600;CPU;2008-03-27;650;950;2850;4500;23000;Unknown;AMD;;;
AMD FX-4320;CPU;2012-10-23;320;950;3150;12000;40000;Unknown;AMD;;;
AMD Athlon 64 X2 5400+ BE;CPU;2008-02-01;650;650;1260;1540;28000;Unknown;AMD;;;
Intel Core i3-8109U;CPU;2018-04-05;140;280;1230;;30000;Intel;Intel;;;
Intel Celeron N2807;CPU;2014-02-23;220;40;;;15800;Intel;Intel;;;
Intel Core i5-660;CPU;2010-01-07;320;730;810;3820;33330;Intel;Intel;;;
Intel Xeon Bronze 3106;CPU;2017-07-11;140;850;;80000;21000;Intel;Intel;;;
Intel Celeron D 350;CPU;2005-06-28;900;840;1090;1250;32000;Intel;Intel;;;
AMD Opteron X2 175;CPU;2005-08-02;900;1100;;2330;22000;Unknown;AMD;;;
Intel Pentium Gold G6405;CPU;2021-03-16;140;650;;;41000;Intel;Intel;;;
Intel Celeron 2.10;CPU;2002-11-20;1300;730;1460;550;21000;Intel;Intel;;;
Intel Core i5-11600KF;CPU;2021-03-16;140;1250;;;39000;Intel;Intel;;;
Intel Xeon Platinum 9222;CPU;2019-04-02;140;2500;;80000;23000;Intel;Intel;;;
Intel Core i5-2390T;CPU;2011-02-20;320;350;1310;5040;27000;Intel;Intel;;;
AMD A6-5400B;CPU;2012-10-02;320;650;2460;11780;36000;Unknown;AMD;;;
Intel Core i7-4790K;CPU;2014-05-01;220;880;1770;14000;40000;Intel;Intel;;;
Intel Pentium 4 519;CPU;2004-12-01;900;840;1090;1250;30600;Intel;Intel;;;
Intel Pentium III 1000;CPU;2001-07-01;1300;300;800;440;10000;Intel;Intel;;;
AMD Ryzen 7 5800HS;CPU;2021-01-12;70;350;1560;98000;28000;TSMC;AMD;;;
AMD Ryzen Threadripper 3970X;CPU;2019-11-25;70;2800;740;38000;37000;TSMC;AMD;;;
Intel Pentium 4 HT 524;CPU;2001-01-01;900;840;1090;1250;30600;Intel;Intel;;;
AMD Athlon X2 4450e;CPU;2008-04-21;650;450;1260;1540;23000;Unknown;AMD;;;
Intel Core 2 Extreme QX9650;CPU;2007-11-30;450;1300;1070;8200;30000;Intel;Intel;;;
Intel Atom D2700;CPU;2011-11-01;320;100;660;1760;21330;Intel;Intel;;;
